,last_word,conjugated,suffix
763,Систем,системд,д
764,Систем,системийг,ийг
765,Систем,системээс,ээс
766,Систем,системээр,ээр
767,Систем,системтэй,тэй
768,Нөхөрлөл,нөхөрлөлийн,ийн
769,Нөхөрлөл,нөхөрлөлд,д
770,Нөхөрлөл,нөхөрлөлийг,ийг
771,Нөхөрлөл,нөхөрлөлөөс,өөс
772,Нөхөрлөл,нөхөрлөлөөр,өөр
773,Нөхөрлөл,нөхөрлөлтэй,тэй
774,Нутаг,нутгийн,ийн
775,Нутаг,нутагт,т
776,Нутаг,нутгийг,ийг
777,Нутаг,нутгаас,аас
778,Нутаг,нутгаар,аар
779,Нутаг,нутагтай,тай
780,Конвенц,конвенцын,ын
781,Конвенц,конвенцод,д
782,Конвенц,конвенцыг,ыг
783,Конвенц,конвенцоос,оос
784,Конвенц,конвенцоор,оор
785,Конвенц,конвенцтой,той
786,Үндэслэл,үндэслэлийн,ийн
787,Үндэслэл,үндэслэлд,д
788,Үндэслэл,үндэслэлийг,ийг
789,Үндэслэл,үндэслэлээс,ээс
790,Үндэслэл,үндэслэлээр,ээр
791,Үндэслэл,үндэслэлтэй,тэй
792,Компани,компанийн,ийн
793,Компани,компанид,д
794,Компани,компанийг,ийг
795,Компани,компаниас,аас
796,Компани,компаниар,аар
797,Компани,компанитай,тай
798,Цэг,цэгийн,ийн
799,Цэг,цэгт,т
800,Цэг,цэгийг,ийг
801,Цэг,цэгээс,ээс
802,Цэг,цэгээр,ээр
803,Цэг,цэгтэй,тэй
804,Шалгаруулах,шалгаруулахын,ын
805,Шалгаруулах,шалгаруулахад,д
806,Шалгаруулах,шалгаруулахыг,ыг
807,Шалгаруулах,шалгаруулахаас,аас
808,Шалгаруулах,шалгаруулахаар,аар
809,Шалгаруулах,шалгаруулахтай,тай
810,Улаанбаатар,улаанбаатарын,ын
811,Улаанбаатар,улаанбаатарт,т
812,Улаанбаатар,улаанбаатарыг,ыг
813,Улаанбаатар,улаанбаатараас,аас
814,Улаанбаатар,улаанбаатараар,аар
815,Улаанбаатар,улаанбаатартай,тай
816,Сүлжээ,сүлжээний,ний
817,Сүлжээ,сүлжээнд,нд
818,Сүлжээ,сүлжээг,г
819,Сүлжээ,сүлжээнээс,нээс
820,Сүлжээ,сүлжээгээр,ээр
821,Сүлжээ,сүлжээтэй,тэй
822,Прокурор,прокурорын,ын
823,Прокурор,прокурорт,т
824,Прокурор,прокурорыг,ыг
825,Прокурор,прокуророос,оос
826,Прокурор,прокуророор,оор
827,Прокурор,прокурортой,той
828,Дэлгүүр,дэлгүүрийн,ийн
829,Дэлгүүр,дэлгүүрт,т
830,Дэлгүүр,дэлгүүрийг,ийг
831,Дэлгүүр,дэлгүүрээс,ээс
832,Дэлгүүр,дэлгүүрээр,ээр
833,Дэлгүүр,дэлгүүртэй,тэй
834,Уурхай,уурхайн,н
835,Уурхай,уурхайд,д
836,Уурхай,уурхайг,г
837,Уурхай,уурхайгаас,аас
838,Уурхай,уурхайгаар,аар
839,Уурхай,уурхайтай,тай
840,Байдал,байдлын,ын
841,Байдал,байдалд,д
842,Байдал,байдлыг,ыг
843,Байдал,байдлаас,аас
844,Байдал,байдлаар,аар
845,Байдал,байдалтай,тай
846,Мэдүүлэг,мэдүүлгийн,ийн
847,Мэдүүлэг,мэдүүлэгт,т
848,Мэдүүлэг,мэдүүлгийг,ийг
849,Мэдүүлэг,мэдүүлгээс,ээс
850,Мэдүүлэг,мэдүүлгээр,ээр
851,Мэдүүлэг,мэдүүлэгтэй,тэй
852,Вирус,вирусийн,ийн
853,Вирус,вирусэд,д
854,Вирус,вирусийг,ийг
855,Вирус,вирсээс,ээс
856,Вирус,вирсээр,ээр
857,Вирус,вирустэй,тэй
858,Хэрэг,хэргийн,ийн
859,Хэрэг,хэрэгт,т
860,Хэрэг,хэргийг,ийг
861,Хэрэг,хэргээс,ээс
862,Хэрэг,хэргээр,ээр
863,Хэрэг,хэрэгтэй,тэй
864,Хоршоо,хоршооны,ны
865,Хоршоо,хоршоонд,нд
866,Хоршоо,хоршоог,г
867,Хоршоо,хоршооноос,ноос
868,Хоршоо,хоршоогоор,оор
869,Хоршоо,хоршоотой,той
870,Комбинат,комбинатын,ын
871,Комбинат,комбинатад,д
872,Комбинат,комбинатыг,ыг
873,Комбинат,комбинатаас,аас
874,Комбинат,комбинатаар,аар
875,Комбинат,комбинаттай,тай
876,Орчим,орчмын,ын
877,Орчим,орчимд,д
878,Орчим,орчмыг,ыг
879,Орчим,орчмоос,оос
880,Орчим,орчмоор,оор
881,Орчим,орчимтой,той
882,Хорьдугаар,хорьдугаарын,ын
883,Хорьдугаар,хорьдугаарт,т
884,Хорьдугаар,хорьдугаарыг,ыг
885,Хорьдугаар,хорьдугаараас,аас
886,Хорьдугаар,хорьдугаараар,аар
887,Хорьдугаар,хорьдугаартай,тай
888,Шугам,шугамын,ын
889,Шугам,шугамд,д
890,Шугам,шугамыг,ыг
891,Шугам,шугамаас,аас
892,Шугам,шугамаар,аар
893,Шугам,шугамтай,тай
894,Академи,академийн,ийн
895,Академи,академид,д
896,Академи,академийг,ийг
897,Академи,академиас,аас
898,Академи,академиар,аар
899,Академи,академитай,тай
900,Шалгалт,шалгалтын,ын
901,Шалгалт,шалгалтад,д
902,Шалгалт,шалгалтыг,ыг
903,Шалгалт,шалгалтаас,аас
904,Шалгалт,шалгалтаар,аар
905,Шалгалт,шалгалттай,тай
906,Мэнд,мэндийн,ийн
907,Мэнд,мэндэд,д
908,Мэнд,мэндийг,ийг
909,Мэнд,мэндээс,ээс
910,Мэнд,мэндээр,ээр
911,Мэнд,мэндтэй,тэй
912,Даатгал,даатгалын,ын
913,Даатгал,даатгалд,д
914,Даатгал,даатгалыг,ыг
915,Даатгал,даатгалаас,аас
916,Даатгал,даатгалаар,аар
917,Даатгал,даатгалтай,тай
918,Хүмүүжил,хүмүүжлийн,ийн
919,Хүмүүжил,хүмүүжилд,д
920,Хүмүүжил,хүмүүжлийг,ийг
921,Хүмүүжил,хүмүүжлээс,ээс
922,Хүмүүжил,хүмүүжлээр,ээр
923,Хүмүүжил,хүмүүжилтэй,тэй
924,ЮНЕСКО,юнескогийн,ийн
925,ЮНЕСКО,юнескод,д
926,ЮНЕСКО,юнеског,г
927,ЮНЕСКО,юнескогоосс,оос
928,ЮНЕСКО,юнескогоор,оор
929,ЮНЕСКО,юнескотой,той
930,Цэц,цэцийн,ийн
931,Цэц,цэцэд,д
932,Цэц,цэцийг,ийг
933,Цэц,цэцээс,ээс
934,Цэц,цэцээр,ээр
935,Цэц,цэцтэй,тэй
936,Баг,багийн,ийн
937,Баг,багт,т
938,Баг,багийг,ийг
939,Баг,багаас,аас
940,Баг,багаар,аар
941,Баг,багтай,тай
942,Орон,орны,ы
943,Орон,оронд,д
944,Орон,орныг,ыг
945,Орон,орноос,оос
946,Орон,орноор,оор
947,Орон,оронтой,той
948,Хүч,хүчний,ний
949,Хүч,хүчид,д
950,Хүч,хүчийг,ийг
951,Хүч,хүчнээс,нээс
952,Хүч,хүчээр,ээр
953,Хүч,хүчтэй,тэй
